"","x"
"1",0.307235800949537
"2",0.293652189203449
"3",0.40232108317215
"4",0.415904694918237
"5",0.483822753648675
"6",0.497406365394763
"7",0.551740812379113
"8",0.578908035871288
"9",0.551740812379113
"10",0.578908035871288
"11",0.606075259363463
"12",0.606075259363463
"13",0.606075259363463
"14",0.619658871109551
"15",0.633242482855638
"16",0.646826094601726
"17",0.673993318093901
"18",0.701160541586076
"19",0.728327765078251
"20",0.741911376824339
"21",0.755494988570426
"22",0.741911376824339
"23",0.755494988570426
"24",0.782662212062602
"25",0.796245823808689
"26",0.796245823808689
"27",0.809829435554777
"28",0.796245823808689
"29",0.809829435554777
"30",0.796245823808689
"31",0.809829435554777
"32",0.823413047300864
"33",0.823413047300864
"34",0.823413047300864
"35",0.823413047300864
"36",0.823413047300864
"37",0.823413047300864
"38",0.823413047300864
"39",0.836996659046952
"40",0.836996659046952
"41",0.850580270793039
"42",0.864163882539127
"43",0.877747494285214
"44",0.891331106031302
"45",0.877747494285214
"46",0.877747494285214
"47",0.877747494285214
"48",0.864163882539127
"49",0.864163882539127
"50",0.864163882539127
"51",0.877747494285214
"52",0.877747494285214
"53",0.891331106031302
"54",0.891331106031302
"55",0.891331106031302
"56",0.891331106031302
"57",0.877747494285214
"58",0.877747494285214
"59",0.891331106031302
"60",0.891331106031302
"61",0.918498329523477
"62",0.918498329523477
"63",0.918498329523477
"64",0.932081941269565
"65",0.932081941269565
"66",0.932081941269565
"67",0.932081941269565
"68",0.932081941269565
"69",0.932081941269565
"70",0.932081941269565
"71",0.932081941269565
"72",0.932081941269565
"73",0.932081941269565
"74",0.932081941269565
"75",0.932081941269565
"76",0.918498329523477
"77",0.918498329523477
"78",0.932081941269565
"79",0.932081941269565
"80",0.932081941269565
"81",0.918498329523477
"82",0.932081941269565
"83",0.932081941269565
"84",0.932081941269565
"85",0.932081941269565
"86",0.932081941269565
"87",0.918498329523477
"88",0.918498329523477
"89",0.918498329523477
"90",0.918498329523477
"91",0.90491471777739
"92",0.918498329523477
"93",0.918498329523477
"94",0.918498329523477
"95",0.90491471777739
"96",0.918498329523477
"97",0.918498329523477
"98",0.918498329523477
"99",0.90491471777739
"100",0.90491471777739
"101",0.90491471777739
"102",0.90491471777739
"103",0.90491471777739
"104",0.90491471777739
"105",0.90491471777739
"106",0.90491471777739
"107",0.90491471777739
"108",0.90491471777739
"109",0.90491471777739
"110",0.90491471777739
"111",0.90491471777739
"112",0.90491471777739
"113",0.90491471777739
"114",0.90491471777739
"115",0.90491471777739
"116",0.90491471777739
"117",0.90491471777739
"118",0.90491471777739
"119",0.90491471777739
"120",0.90491471777739
"121",0.90491471777739
"122",0.90491471777739
"123",0.90491471777739
"124",0.90491471777739
"125",0.918498329523477
"126",0.918498329523477
"127",0.918498329523477
"128",0.918498329523477
"129",0.918498329523477
"130",0.918498329523477
"131",0.918498329523477
"132",0.918498329523477
"133",0.918498329523477
"134",0.918498329523477
"135",0.918498329523477
"136",0.918498329523477
"137",0.918498329523477
"138",0.918498329523477
"139",0.918498329523477
"140",0.918498329523477
"141",0.918498329523477
"142",0.918498329523477
"143",0.918498329523477
"144",0.918498329523477
"145",0.918498329523477
"146",0.918498329523477
"147",0.918498329523477
"148",0.918498329523477
"149",0.90491471777739
"150",0.918498329523477
"151",0.918498329523477
"152",0.918498329523477
"153",0.918498329523477
"154",0.918498329523477
"155",0.918498329523477
"156",0.918498329523477
"157",0.918498329523477
"158",0.918498329523477
"159",0.918498329523477
"160",0.918498329523477
"161",0.918498329523477
"162",0.918498329523477
"163",0.918498329523477
"164",0.918498329523477
"165",0.918498329523477
"166",0.918498329523477
"167",0.918498329523477
"168",0.918498329523477
"169",0.918498329523477
"170",0.918498329523477
"171",0.918498329523477
"172",0.918498329523477
"173",0.918498329523477
"174",0.918498329523477
"175",0.918498329523477
"176",0.918498329523477
"177",0.918498329523477
"178",0.918498329523477
"179",0.918498329523477
"180",0.918498329523477
