"From"	"To"
"205745_x_at"	"ADAM17"
"205748_s_at"	"RNF126"
"205750_at"	"BPHL"
"205756_s_at"	"F8"
"205760_s_at"	"OGG1"
"205761_s_at"	"DUS4L"
"205763_s_at"	"DDX18"
"205771_s_at"	"AKAP7"
"205775_at"	"FAM50B"
"205781_at"	"VPS9D1"
"205784_x_at"	"ARVCF"
"205786_s_at"	"ITGAM"
"205787_x_at"	"ZC3H11A"
"205787_x_at"	"LOC441155"
"205788_s_at"	"ZC3H11A"
"205788_s_at"	"LOC441155"
"205792_at"	"CCN5"
"205797_s_at"	"TCP11L1"
"205798_at"	"IL7R"
"205801_s_at"	"RASGRP3"
"205802_at"	"TRPC1"
"205803_s_at"	"TRPC1"
"205805_s_at"	"ROR1"
"205807_s_at"	"TUFT1"
"205808_at"	"ASPH"
"205809_s_at"	"WASL"
"205811_at"	"POLG2"
"205812_s_at"	"SULT1C4"
"205812_s_at"	"TMED9"
"205817_at"	"SIX1"
"205821_at"	"KLRK1"
"205821_at"	"KLRC4"
"205824_at"	"HSPB2"
"205831_at"	"CD2"
"205836_s_at"	"YTHDC2"
"205841_at"	"JAK2"
"205842_s_at"	"JAK2"
"205843_x_at"	"CRAT"
"205849_s_at"	"UQCRB"
"205851_at"	"NME6"
"205854_at"	"TULP3"
"205859_at"	"LY86"
"205870_at"	"BDKRB2"
"205872_x_at"	"PDE4DIP"
"205875_s_at"	"TREX1"
"205877_s_at"	"ZC3H7B"
"205880_at"	"PRKD1"
"205882_x_at"	"ADD3"
"205883_at"	"ZBTB16"
"205887_x_at"	"MSH3"
"205891_at"	"ADORA2B"
"205895_s_at"	"NOLC1"
"205898_at"	"CX3CR1"
"205904_at"	"MICA"
"205905_s_at"	"MICA"
"205905_s_at"	"MICB"
"205917_at"	"ZNF264"
"205928_at"	"ZNF443"
"205930_at"	"GTF2E1"
"205931_s_at"	"CREB5"
"205932_s_at"	"MSX1"
"205933_at"	"SETBP1"
"205936_s_at"	"HK3"
"205943_at"	"TDO2"
"205945_at"	"IL6R"
"205956_x_at"	"PSMC3IP"
"205961_s_at"	"PSIP1"
"205963_s_at"	"DNAJA3"
"205964_at"	"ZNF426"
"205965_at"	"BATF"
"205967_at"	"H4C3"
"205968_at"	"KCNS3"
"205981_s_at"	"ING2"
"205986_at"	"AATK"
"205988_at"	"CD84"
"205990_s_at"	"WNT5A"
"205991_s_at"	"PRRX1"
"205995_x_at"	"IQCB1"
"205996_s_at"	"AK2"
"205997_at"	"ADAM28"
"206003_at"	"CEP135"
"206011_at"	"CASP1"
"206015_s_at"	"FOXJ3"
"206016_at"	"CCDC22"
"206025_s_at"	"TNFAIP6"
"206026_s_at"	"TNFAIP6"
"206028_s_at"	"MERTK"
"206031_s_at"	"USP5"
"206036_s_at"	"REL"
"206042_x_at"	"SNURF"
"206042_x_at"	"SNRPN"
"206050_s_at"	"RNH1"
"206052_s_at"	"SLBP"
"206055_s_at"	"SNRPA1"
"206056_x_at"	"SPN"
"206059_at"	"ZNF91"
"206061_s_at"	"DICER1"
"206063_x_at"	"PPIL2"
"206066_s_at"	"RAD51C"
"206070_s_at"	"EPHA3"
"206074_s_at"	"HMGA1"
"206075_s_at"	"CSNK2A1"
"206081_at"	"SLC24A1"
"206082_at"	"HCP5"
"206087_x_at"	"HFE"
"206093_x_at"	"TNXA"
"206093_x_at"	"TNXB"
"206095_s_at"	"SRSF10"
"206100_at"	"CPM"
"206101_at"	"ECM2"
"206102_at"	"GINS1"
"206113_s_at"	"RAB5A"
"206115_at"	"EGR3"
"206116_s_at"	"TPM1"
"206117_at"	"TPM1"
"206123_at"	"LLGL1"
"206132_at"	"MCC"
"206133_at"	"XAF1"
"206138_s_at"	"PI4KB"
"206139_at"	"PI4KB"
"206147_x_at"	"SCML2"
"206157_at"	"PTX3"
"206158_s_at"	"CNBP"
"206167_s_at"	"ARHGAP6"
"206169_x_at"	"ZC3H7B"
"206174_s_at"	"PPP6C"
"206175_x_at"	"ZNF222"
"206180_x_at"	"ZNF747"
"206182_at"	"ZNF134"
"206188_at"	"ZNF623"
"206194_at"	"HOXC4"
"206200_s_at"	"ANXA11"
"206201_s_at"	"MEOX2"
"206213_at"	"WNT10B"
"206214_at"	"PLA2G7"
"206227_at"	"CILP"
"206235_at"	"LIG4"
"206238_s_at"	"YAF2"
"206240_s_at"	"ZNF136"
"206245_s_at"	"IVNS1ABP"
"206247_at"	"MICB"
"206257_at"	"CCDC9"
"206284_x_at"	"CLTB"
"206289_at"	"HOXA4"
"206302_s_at"	"NUDT4"
"206302_s_at"	"NUDT4P2"
"206302_s_at"	"NUDT4B"
"206307_s_at"	"FOXD1"
"206308_at"	"TRDMT1"
"206316_s_at"	"KNTC1"
"206323_x_at"	"OPHN1"
"206332_s_at"	"IFI16"
"206335_at"	"GALNS"
"206338_at"	"ELAVL3"
"206342_x_at"	"IDS"
"206352_s_at"	"PEX10"
"206359_at"	"SOCS3"
"206363_at"	"MAF"
"206364_at"	"KIF14"
"206373_at"	"ZIC1"
"206374_at"	"DUSP8"
"206383_s_at"	"G3BP2"
"206385_s_at"	"ANK3"
"206391_at"	"RARRES1"
"206392_s_at"	"RARRES1"
"206399_x_at"	"CACNA1A"
"206402_s_at"	"NPFF"
"206405_x_at"	"USP6"
"206407_s_at"	"CCL13"
"206412_at"	"FER"
"206414_s_at"	"ASAP2"
"206416_at"	"ZNF205"
"206431_x_at"	"TBC1D9B"
"206432_at"	"HAS2"
"206438_x_at"	"TCTN2"
"206441_s_at"	"COMMD4"
"206445_s_at"	"PRMT1"
"206451_at"	"TBCCD1"
"206452_x_at"	"PTPA"
"206453_s_at"	"NDRG2"
"206461_x_at"	"MT1H"
"206468_s_at"	"METTL13"
"206469_x_at"	"AKR7A3"
"206472_s_at"	"TLE3"
"206481_s_at"	"LDB2"
"206487_at"	"SUN1"
"206488_s_at"	"CD36"
"206491_s_at"	"NAPA"
"206495_s_at"	"HINFP"
"206499_s_at"	"RCC1"
"206503_x_at"	"PML"
"206506_s_at"	"SUPT3H"
"206510_at"	"SIX2"
"206513_at"	"AIM2"
"206539_s_at"	"CYP4F12"
"206542_s_at"	"SMARCA2"
"206544_x_at"	"SMARCA2"
"206548_at"	NA
"206550_s_at"	"NUP155"
"206551_x_at"	"KLHL24"
"206554_x_at"	"SETMAR"
"206555_s_at"	"THUMPD1"
"206559_x_at"	"EEF1A1"
"206562_s_at"	"CSNK1A1"
"206565_x_at"	"GUSBP14"
"206567_s_at"	"PHF20"
"206571_s_at"	"MAP4K4"
"206572_x_at"	"ZNF85"
"206574_s_at"	"PTP4A3"
"206580_s_at"	"EFEMP2"
"206583_at"	"KRBOX4"
"206584_at"	"LY96"
"206592_s_at"	"AP3D1"
"206593_s_at"	"MED22"
"206613_s_at"	"TAF1A"
"206621_s_at"	"EIF4H"
"206631_at"	"PTGER2"
"206632_s_at"	"APOBEC3B"
"206635_at"	"CHRNB2"
"206636_at"	"RASA2"
"206649_s_at"	"TFE3"
"206650_at"	"IQCC"
"206652_at"	"ZMYM5"
"206656_s_at"	"APMAP"
"206657_s_at"	"MYOD1"
"206659_at"	NA
"206662_at"	"GLRX"
"206665_s_at"	"BCL2L1"
"206668_s_at"	"SCAMP1"
"206687_s_at"	"PTPN6"
"206688_s_at"	"CPSF4"
"206689_x_at"	"KAT5"
"206695_x_at"	"ZNF43"
"206710_s_at"	"EPB41L3"
"206726_at"	"HPGDS"
"206734_at"	"JRKL"
"206748_s_at"	"SPAG9"
"206752_s_at"	"DFFB"
"206756_at"	"CHST7"
"206764_x_at"	"MPPE1"
"206765_at"	"KCNJ2"
"206770_s_at"	"SLC35A3"
"206788_s_at"	"CBFB"
"206789_s_at"	"POU2F1"
"206790_s_at"	"NDUFB1"
"206792_x_at"	"PDE4C"
"206792_x_at"	"LOC729966"
"206796_at"	"CCN4"
"206809_s_at"	"HNRNPA3P1"
"206809_s_at"	"HNRNPA3"
"206829_x_at"	"ZNF430"
"206833_s_at"	"ACYP2"
"206845_s_at"	"RNF40"
"206846_s_at"	"HDAC6"
"206847_s_at"	"HOXA7"
"206848_at"	"HOXA7"
"206848_at"	"COX20"
"206853_s_at"	"MAP3K7"
"206854_s_at"	"MAP3K7"
"206855_s_at"	"HYAL2"
"206858_s_at"	"HOXC6"
"206860_s_at"	"MIOS"
"206861_s_at"	"CGGBP1"
"206874_s_at"	"SLK"
"206875_s_at"	"SLK"
"206918_s_at"	"CPNE1"
"206928_at"	"ZNF124"
"206929_s_at"	"NFIC"
"206932_at"	"CH25H"
"206949_s_at"	"RUSC1"
"206953_s_at"	"ADGRL2"
"206958_s_at"	"UPF3A"
"206959_s_at"	"UPF3A"
"206966_s_at"	"KLF12"
"206976_s_at"	"HSPH1"
"206989_s_at"	"SCAF11"
"206991_s_at"	"CCR5"
"206992_s_at"	"DMAC2L"
"207000_s_at"	"PPP3CC"
"207001_x_at"	"TSC22D3"
"207002_s_at"	"PLAGL1"
"207006_s_at"	"CCDC106"
"207011_s_at"	"PTK7"
"207023_x_at"	"KRT10"
"207025_at"	"GJC2"
"207030_s_at"	"CSRP2"
"207039_at"	"CDKN2A"
"207040_s_at"	"ST13"
"207057_at"	"SLC16A7"
"207068_at"	"ZFP37"
"207069_s_at"	"SMAD6"
"207071_s_at"	"ACO1"
"207076_s_at"	"ASS1"
"207078_at"	"MED6"
"207079_s_at"	"MED6"
"207081_s_at"	"PI4KA"
"207088_s_at"	"SLC25A11"
"207090_x_at"	"ZFP30"
"207098_s_at"	"MFN1"
"207104_x_at"	"LILRB1"
"207108_s_at"	"NIPBL"
"207115_x_at"	"MBTD1"
"207121_s_at"	"MAPK6"
"207122_x_at"	"SULT1A2"
"207124_s_at"	"GNB5"
"207127_s_at"	"HNRNPH3"
"207132_x_at"	"PFDN5"
"207133_x_at"	"ALPK1"
"207134_x_at"	"TPSB2"
"207134_x_at"	"TPSAB1"
"207153_s_at"	"GLMN"
"207157_s_at"	"GNG5"
"207159_x_at"	"CRTC1"
"207163_s_at"	"AKT1"
"207165_at"	"HMMR"
"207168_s_at"	"MACROH2A1"
"207170_s_at"	"LETMD1"
"207172_s_at"	"CDH11"
"207173_x_at"	"CDH11"
"207177_at"	"PTGFR"
"207180_s_at"	"HTATIP2"
"207181_s_at"	"CASP7"
"207186_s_at"	"BPTF"
"207191_s_at"	"ISLR"
"207196_s_at"	"TNIP1"
"207198_s_at"	"LIMS1"
"207233_s_at"	"MITF"
"207238_s_at"	"PTPRC"
"207239_s_at"	"CDK16"
"207243_s_at"	"CALM2"
"207253_s_at"	"UBN1"
"207265_s_at"	"KDELR3"
"207266_x_at"	"RBMS1"
"207268_x_at"	"ABI2"
"207275_s_at"	"ACSL1"
"207277_at"	"CD209"
"207283_at"	"RPL23AP32"
"207292_s_at"	"MAPK7"
"207305_s_at"	"TRAPPC8"
"207306_at"	"TCF15"
"207318_s_at"	"CDK13"
"207320_x_at"	"STAU1"
"207332_s_at"	"TFRC"
"207334_s_at"	"TGFBR2"
"207335_x_at"	"ATP5ME"
"207338_s_at"	"ZNF200"
"207339_s_at"	"LTB"
"207350_s_at"	"VAMP4"
"207353_s_at"	"HMX1"
"207357_s_at"	"GALNT10"
"207358_x_at"	"MACF1"
"207358_x_at"	"KIAA0754"
"207365_x_at"	"USP34"
"207375_s_at"	"IL15RA"
"207379_at"	"EDIL3"
"207388_s_at"	"PTGES"
"207390_s_at"	"SMTN"
"207391_s_at"	"PIP5K1A"
"207396_s_at"	"ALG3"
"207405_s_at"	"RAD17"
"207416_s_at"	"NFATC3"
"207417_s_at"	"ZNF177"
"207417_s_at"	"ZNF559"
"207419_s_at"	"RAC2"
"207426_s_at"	"TNFSF4"
"207428_x_at"	"CDK11B"
"207431_s_at"	"DEGS1"
"207435_s_at"	"SRRM2"
"207436_x_at"	"SORBS1"
"207438_s_at"	"SNUPN"
"207467_x_at"	"CAST"
"207469_s_at"	"PIR"
"207480_s_at"	"MEIS2"
"207483_s_at"	"CAND1"
"207485_x_at"	"BTN3A1"
"207490_at"	"TUBA4B"
"207492_at"	"NGLY1"
"207494_s_at"	"ZNF76"
"207495_at"	"RAB28"
"207499_x_at"	"UNC45A"
"207507_s_at"	"ATP5MC3"
"207508_at"	"ATP5MC3"
"207511_s_at"	"CNPPD1"
"207513_s_at"	"ZNF189"
"207515_s_at"	"POLR1C"
"207525_s_at"	"GIPC1"
"207535_s_at"	"NFKB2"
"207540_s_at"	"SYK"
"207541_s_at"	"EXOSC10"
"207542_s_at"	"AQP1"
"207543_s_at"	"P4HA1"
"207545_s_at"	"NUMB"
"207545_s_at"	"LOC101928143"
"207549_x_at"	"CD46"
"207551_s_at"	"MSL3"
"207555_s_at"	"TBXA2R"
"207556_s_at"	"DGKZ"
"207559_s_at"	"ZMYM3"
"207563_s_at"	"OGT"
"207564_x_at"	"OGT"
"207565_s_at"	"MR1"
"207571_x_at"	"THEMIS2"
"207573_x_at"	"ATP5MG"
"207574_s_at"	"GADD45B"
"207585_s_at"	"RPL36AL"
"207595_s_at"	"BMP1"
"207598_x_at"	"XRCC2"
"207604_s_at"	"SLC4A7"
"207606_s_at"	"ARHGAP12"
"207614_s_at"	"CUL1"
"207616_s_at"	"TANK"
"207618_s_at"	"BCS1L"
"207620_s_at"	"CASK"
"207621_s_at"	"PEMT"
"207622_s_at"	"ABCF2"
"207622_s_at"	"ABCF2"
"207624_s_at"	"RPGR"
"207625_s_at"	"CBFA2T2"
"207627_s_at"	"TFCP2"
"207628_s_at"	"BUD23"
"207629_s_at"	"ARHGEF2"
"207630_s_at"	"CREM"
"207643_s_at"	"TNFRSF1A"
"207654_x_at"	"DR1"
"207655_s_at"	"BLNK"
"207657_x_at"	"TNPO1"
"207667_s_at"	"MAP2K3"
"207668_x_at"	"PDIA6"
"207677_s_at"	"NCF4"
"207688_s_at"	"INHBC"
"207697_x_at"	"LILRB2"
"207700_s_at"	"NCOA3"
"207705_s_at"	"NINL"
"207707_s_at"	"SEC13"
"207711_at"	"SOGA1"
"207713_s_at"	"RBCK1"
"207714_s_at"	"SERPINH1"
"207719_x_at"	"CEP170"
"207721_x_at"	"HINT1"
"207722_s_at"	"BTBD2"
"207727_s_at"	"MUTYH"
"207730_x_at"	"TNFAIP8L1"
"207735_at"	"RNF125"
"207738_s_at"	"NCKAP1"
"207740_s_at"	"NUP62"
"207749_s_at"	"PPP2R3A"
"207760_s_at"	"NCOR2"
"207761_s_at"	"METTL7A"
"207765_s_at"	"FAM214B"
"207769_s_at"	"PQBP1"
"207782_s_at"	"PSEN1"
"207785_s_at"	"RBPJ"
"207791_s_at"	"RAB1A"
"207801_s_at"	"RNF10"
"207805_s_at"	"PSMD9"
"207808_s_at"	"PROS1"
"207809_s_at"	"ATP6AP1"
"207812_s_at"	"GORASP2"
"207821_s_at"	"PTK2"
"207826_s_at"	"ID3"
"207827_x_at"	"SNCA"
"207828_s_at"	"CENPF"
"207829_s_at"	"BNIP1"
"207830_s_at"	"PPP1R8"
"207831_x_at"	"DHPS"
"207836_s_at"	"RBPMS"
"207838_x_at"	"PBXIP1"
"207842_s_at"	"CASC3"
"207843_x_at"	"CYB5A"
"207845_s_at"	"ANAPC10"
"207855_s_at"	"CLCC1"
"207856_s_at"	"SMPD4"
"207856_s_at"	"SMPD4BP"
"207871_s_at"	"ST7"
"207871_s_at"	"ST7"
"207876_s_at"	"FLNC"
"207877_s_at"	"NVL"
"207891_s_at"	"HAUS7"
"207891_s_at"	"TREX2"
"207914_x_at"	"EVX1"
"207920_x_at"	"ZFX"
"207922_s_at"	"MAEA"
"207937_x_at"	"FGFR1"
"207939_x_at"	"RNPS1"
"207941_s_at"	"RBM39"
"207943_x_at"	"PLAGL1"
"207945_s_at"	"CSNK1D"
"207953_at"	NA
"207956_x_at"	"PDS5B"
"207961_x_at"	"MYH11"
"207966_s_at"	"GLG1"
"207971_s_at"	"CEP68"
"207974_s_at"	"SKP1"
"207977_s_at"	"DPT"
"207980_s_at"	"CITED2"
"207983_s_at"	"STAG2"
"207986_x_at"	"CYB561"
"207988_s_at"	"ARPC2"
"207992_s_at"	"AMPD3"
"207996_s_at"	"LDLRAD4"
"208002_s_at"	"ACOT7"
"208003_s_at"	"NFAT5"
"208012_x_at"	"SP110"
"208015_at"	NA
"208018_s_at"	"HCK"
"208021_s_at"	"RFC1"
"208022_s_at"	"CDC14B"
"208024_s_at"	"DGCR6"
"208024_s_at"	"DGCR6L"
"208024_s_at"	"LOC102724770"
"208029_s_at"	"LAPTM4B"
"208030_s_at"	"ADD1"
"208033_s_at"	"ZFHX3"
"208042_at"	"AGGF1"
"208044_s_at"	"PPARD"
"208051_s_at"	"PAIP1"
"208055_s_at"	"HERC4"
"208066_s_at"	"GTF2B"
"208070_s_at"	"REV3L"
"208071_s_at"	"LAIR1"
"208072_s_at"	"DGKD"
"208073_x_at"	"TTC3"
"208074_s_at"	"AP2S1"
"208078_s_at"	"ZEB1"
"208078_s_at"	"SIK1"
"208078_s_at"	"LOC102724428"
"208079_s_at"	"AURKA"
"208082_x_at"	NA
"208089_s_at"	"TDRD3"
"208091_s_at"	"VOPP1"
"208092_s_at"	"CYRIA"
"208093_s_at"	"NDEL1"
"208094_s_at"	"YJU2B"
"208095_s_at"	"CAMK2G"
"208095_s_at"	"SRP72"
"208096_s_at"	"COL21A1"
"208097_s_at"	"TMX1"
"208101_s_at"	"URM1"
"208103_s_at"	"ANP32E"
"208104_s_at"	"TSC22D4"
"208109_s_at"	"LINC00597"
"208110_x_at"	"MED25"
"208112_x_at"	"EHD1"
"208113_x_at"	"PABPC3"
"208114_s_at"	"ISG20L2"
"208116_s_at"	"MAN1A1"
"208117_s_at"	"LAS1L"
"208118_x_at"	"SLC7A5P1"
"208118_x_at"	"SLC7A5P2"
"208119_s_at"	"ZNF93"
"208120_x_at"	NA
"208127_s_at"	"SOCS5"
"208129_x_at"	"RUNX1"
"208129_x_at"	"LOC100506403"
"208131_s_at"	"PTGIS"
"208132_x_at"	"PRRC2A"
"208137_x_at"	"ZNF611"
"208141_s_at"	"DOHH"
"208146_s_at"	"CPVL"
"208149_x_at"	"DDX11"
"208151_x_at"	"DDX17"
"208152_s_at"	"DDX21"
"208158_s_at"	"OSBPL1A"
"208159_x_at"	"DDX11"
"208174_x_at"	"ZRSR2"
"208178_x_at"	"TRIO"
"208184_s_at"	"TRAPPC10"
"208184_s_at"	"LOC102724200"
"208228_s_at"	"FGFR2"
"208232_x_at"	"NRG1"
"208238_x_at"	NA
"208246_x_at"	NA
"208248_x_at"	"APLP2"
"208249_s_at"	"TGDS"
"208255_s_at"	"FKBP8"
"208264_s_at"	"EIF3J"
"208270_s_at"	"RNPEP"
"208286_x_at"	"POU5F1"
"208286_x_at"	"POU5F1B"
"208286_x_at"	"POU5F1P3"
"208286_x_at"	"POU5F1P4"
"208289_s_at"	"EI24"
"208290_s_at"	"EIF5"
"208296_x_at"	"TNFAIP8"
"208306_x_at"	"HLA"
"208306_x_at"	"HLA"
"208308_s_at"	"GPI"
"208309_s_at"	"MALT1"
"208310_s_at"	"FSTL1"
"208310_s_at"	"CCZ1"
"208310_s_at"	"CCZ1B"
"208313_s_at"	"SF1"
"208315_x_at"	"TRAF3"
"208319_s_at"	"RBM3"
"208322_s_at"	"ST3GAL1"
"208325_s_at"	"AKAP13"
"208328_s_at"	"MEF2A"
"208336_s_at"	"TECR"
"208347_at"	NA
"208351_s_at"	"MAPK1"
"208361_s_at"	"POLR3D"
"208369_s_at"	"GCDH"
"208370_s_at"	"RCAN1"
"208371_s_at"	"RING1"
"208374_s_at"	"CAPZA1"
"208392_x_at"	"SP110"
"208393_s_at"	"RAD50"
"208394_x_at"	"ESM1"
"208396_s_at"	"PDE1A"
"208398_s_at"	"TBPL1"
"208405_s_at"	"CD164"
"208407_s_at"	"CTNND1"
"208407_s_at"	"TMX2"
"208414_s_at"	"HOXB3"
"208415_x_at"	"ING1"
"208420_x_at"	"SUPT6H"
"208424_s_at"	"CIAPIN1"
"208433_s_at"	"LRP8"
"208436_s_at"	"IRF7"
"208442_s_at"	"ATM"
"208443_x_at"	"SHOX2"
"208445_s_at"	"BAZ1B"
"208447_s_at"	"PRPS1"
"208451_s_at"	"C4A"
"208451_s_at"	"C4B"
"208451_s_at"	"C4B_2"
"208453_s_at"	"XPNPEP1"
"208454_s_at"	"CPQ"
"208459_s_at"	"XPO7"
"208469_s_at"	"EGFL8"
"208469_s_at"	"PPT2"
"208469_s_at"	"PPT2"
"208475_at"	"FRMD4A"
"208476_s_at"	"FRMD4A"
"208478_s_at"	"BAX"
"208485_x_at"	"CFLAR"
"208490_x_at"	"H2BC7"
"208498_s_at"	"AMY1A"
"208498_s_at"	"AMY1B"
"208498_s_at"	"AMY1C"
"208498_s_at"	"AMY2A"
"208498_s_at"	"AMY2B"
"208499_s_at"	"DNAJC3"
"208503_s_at"	"GATAD1"
"208517_x_at"	"BTF3"
"208527_x_at"	"H2BC6"
"208534_s_at"	"RASA4"
"208534_s_at"	"RASA4CP"
"208534_s_at"	"RASA4B"
"208540_x_at"	NA
"208541_x_at"	"TFAM"
"208549_x_at"	"PTMA"
"208579_x_at"	"H2BS1"
"208579_x_at"	"H2BC12"
"208579_x_at"	"LOC102724334"
"208581_x_at"	"MT1X"
"208595_s_at"	"MBD1"
"208598_s_at"	"HUWE1"
"208609_s_at"	"TNXB"
"208610_s_at"	"SRRM2"
"208611_s_at"	"SPTAN1"
"208612_at"	"PDIA3"
"208613_s_at"	"FLNB"
"208614_s_at"	"FLNB"
"208615_s_at"	"PTP4A2"
"208616_s_at"	"PTP4A2"
"208617_s_at"	"PTP4A2"
"208619_at"	"DDB1"
"208620_at"	"PCBP1"
"208621_s_at"	"EZR"
"208622_s_at"	"EZR"
"208623_s_at"	"EZR"
"208624_s_at"	"EIF4G1"
"208625_s_at"	"EIF4G1"
"208626_s_at"	"VAT1"
"208627_s_at"	"YBX1"
"208628_s_at"	"YBX1"
"208629_s_at"	"HADHA"
"208630_at"	"HADHA"
"208631_s_at"	"HADHA"
"208632_at"	"RNF10"
"208633_s_at"	"MACF1"
"208633_s_at"	"KIAA0754"
"208634_s_at"	"MACF1"
"208634_s_at"	"KIAA0754"
"208635_x_at"	"NACA"
"208636_at"	"ACTN1"
"208637_x_at"	"ACTN1"
"208638_at"	"PDIA6"
"208639_x_at"	"PDIA6"
"208640_at"	"RAC1"
"208641_s_at"	"RAC1"
"208642_s_at"	"XRCC5"
"208643_s_at"	"XRCC5"
"208644_at"	"PARP1"
"208645_s_at"	"RPS14"
"208646_at"	NA
"208647_at"	"FDFT1"
"208648_at"	"VCP"
"208649_s_at"	"VCP"
"208650_s_at"	"CD24"
"208651_x_at"	"CD24"
"208652_at"	"PPP2CA"
"208653_s_at"	"CD164"
"208654_s_at"	"CD164"
"208655_at"	"CCNI"
"208656_s_at"	"CCNI"
"208657_s_at"	"SEPTIN9"
"208658_at"	"PDIA4"
"208659_at"	"CLIC1"
"208660_at"	"CS"
"208661_s_at"	"TTC3"
"208662_s_at"	"TTC3"
"208663_s_at"	"TTC3"
"208664_s_at"	"TTC3"
"208666_s_at"	"ST13"
"208667_s_at"	"ST13"
"208668_x_at"	"HMGN2"
"208669_s_at"	"EID1"
"208670_s_at"	"EID1"
"208671_at"	"SERINC1"
"208672_s_at"	"SRSF3"
"208673_s_at"	"SRSF3"
"208674_x_at"	"DDOST"
"208675_s_at"	"DDOST"
"208676_s_at"	"PA2G4"
"208677_s_at"	"BSG"
"208678_at"	"ATP6V1E1"
"208679_s_at"	"ARPC2"
"208680_at"	"PRDX1"
"208682_s_at"	"MAGED2"
"208683_at"	"CAPN2"
"208684_at"	"COPA"
"208685_x_at"	"BRD2"
"208686_s_at"	"BRD2"
"208687_x_at"	"HSPA8"
"208688_x_at"	"EIF3B"
"208689_s_at"	"RPN2"
"208690_s_at"	"PDLIM1"
"208691_at"	"TFRC"
"208692_at"	"RPS3"
"208693_s_at"	"GARS1"
"208694_at"	"PRKDC"
"208695_s_at"	"RPL39"
"208696_at"	"CCT5"
"208697_s_at"	"EIF3E"
"208698_s_at"	"NONO"
"208699_x_at"	"TKT"
"208700_s_at"	"TKT"
"208702_x_at"	"APLP2"
"208703_s_at"	"APLP2"
"208704_x_at"	"APLP2"
"208705_s_at"	"EIF5"
"208706_s_at"	"EIF5"
"208708_x_at"	"EIF5"
"208709_s_at"	"NRDC"
"208710_s_at"	"AP3D1"
"208711_s_at"	"CCND1"
"208712_at"	"CCND1"
"208713_at"	"HNRNPUL1"
"208714_at"	"NDUFV1"
"208715_at"	"TMCO1"
"208716_s_at"	"TMCO1"
"208717_at"	"OXA1L"
"208718_at"	"DDX17"
"208719_s_at"	"DDX17"
"208720_s_at"	"RBM39"
"208721_s_at"	"ANAPC5"
"208722_s_at"	"ANAPC5"
"208723_at"	"USP11"
"208724_s_at"	"RAB1A"
"208726_s_at"	"EIF2S2"
"208727_s_at"	"CDC42"
"208728_s_at"	"CDC42"
"208729_x_at"	"HLA"
"208730_x_at"	"RAB2A"
"208731_at"	"RAB2A"
"208732_at"	"RAB2A"
"208734_x_at"	"RAB2A"
"208735_s_at"	"CTDSP2"
"208736_at"	"ARPC3"
"208737_at"	"ATP6V1G1"
"208738_x_at"	"SUMO2"
"208739_x_at"	"SUMO2"
"208740_at"	"SAP18"
"208741_at"	"SAP18"
"208742_s_at"	"SAP18"
"208743_s_at"	"YWHAB"
"208744_x_at"	"HSPH1"
"208745_at"	"ATP5MG"
"208746_x_at"	"ATP5MG"
"208747_s_at"	"C1S"
"208748_s_at"	"FLOT1"
"208749_x_at"	"FLOT1"
"208750_s_at"	"ARF1"
"208751_at"	"NAPA"
"208752_x_at"	"NAP1L1"
"208753_s_at"	"NAP1L1"
"208754_s_at"	"NAP1L1"
"208755_x_at"	"H3"
"208755_x_at"	"H3P6"
"208756_at"	"EIF3I"
"208757_at"	"TMED9"
"208758_at"	"ATIC"
"208759_at"	"NCSTN"
"208760_at"	"UBE2I"
"208761_s_at"	"SUMO1"
"208763_s_at"	"TSC22D3"
"208764_s_at"	"ATP5MC2"
"208765_s_at"	"HNRNPR"
"208766_s_at"	"HNRNPR"
"208767_s_at"	"LAPTM4B"
"208768_x_at"	"RPL22"
"208770_s_at"	"EIF4EBP2"
"208771_s_at"	"LTA4H"
"208772_at"	"ANKHD1"
"208772_at"	"ANKHD1"
"208773_s_at"	"ANKHD1"
"208773_s_at"	"ANKHD1"
"208774_at"	"CSNK1D"
"208775_at"	"XPO1"
"208776_at"	"PSMD11"
"208777_s_at"	"PSMD11"
"208778_s_at"	"TCP1"
"208780_x_at"	"VAPA"
"208781_x_at"	"SNX3"
"208782_at"	"FSTL1"
"208783_s_at"	"CD46"
"208784_s_at"	"KLHDC3"
"208785_s_at"	"MAP1LC3B"
"208786_s_at"	"MAP1LC3B"
"208787_at"	"MRPL3"
"208788_at"	"ELOVL5"
"208789_at"	"CAVIN1"
"208790_s_at"	"CAVIN1"
"208791_at"	"CLU"
"208792_s_at"	"CLU"
"208793_x_at"	"SMARCA4"
"208794_s_at"	"SMARCA4"
"208795_s_at"	"MCM7"
"208796_s_at"	"CCNG1"
"208798_x_at"	"GOLGA8A"
"208799_at"	"PSMB5"
"208800_at"	"SRP72"
"208801_at"	"SRP72"
"208802_at"	"SRP72"
"208803_s_at"	"SRP72"
"208804_s_at"	"SRSF6"
"208805_at"	"PSMA6"
"208805_at"	"PRORP"
"208806_at"	"CHD3"
"208807_s_at"	"CHD3"
"208808_s_at"	"HMGB2"
"208809_s_at"	"C6orf62"
"208810_at"	"TMEM135"
"208810_at"	"DNAJB6"
"208811_s_at"	"TMEM135"
"208811_s_at"	"DNAJB6"
"208812_x_at"	"HLA"
"208813_at"	"GOT1"
