"From"	"To"
"1554472_a_at"	"PHF20L1"
"1554473_at"	"SRGAP1"
"1554474_a_at"	"MOXD1"
"1554479_a_at"	"CARD8"
"1554480_a_at"	"ARMC10"
"1554482_a_at"	"SAR1B"
"1554501_at"	"TSC22D4"
"1554510_s_at"	"GHITM"
"1554544_a_at"	"MBP"
"1554547_at"	"FAM13C"
"1554553_s_at"	"YIF1B"
"1554555_a_at"	"SETD6"
"1554556_a_at"	"ATP11B"
"1554565_x_at"	"SPPL3"
"1554572_a_at"	"SUV39H2"
"1554574_a_at"	"CYB5R3"
"1554577_a_at"	"PSMD10"
"1554595_at"	"SYMPK"
"1554599_x_at"	"LIG3"
"1554600_s_at"	"LMNA"
"1554609_at"	"LOC100287896"
"1554627_a_at"	"ASCC1"
"1554638_at"	"ZFYVE16"
"1554667_s_at"	"METTL8"
"1554670_at"	"GGA1"
"1554678_s_at"	"HNRNPDL"
"1554679_a_at"	"LAPTM4B"
"1554690_a_at"	"TACC1"
"1554691_a_at"	"PACSIN2"
"1554696_s_at"	"TYMS"
"1554703_at"	"ARHGEF10"
"1554741_s_at"	"FGF7P6"
"1554741_s_at"	"FGF7"
"1554741_s_at"	"FGF7P3"
"1554747_a_at"	"SEPTIN2"
"1554761_a_at"	"DNAAF5"
"1554762_a_at"	"WWC2"
"1554767_s_at"	"CRYZL1"
"1554768_a_at"	"MAD2L1"
"1554769_at"	"ZNF785"
"1554770_x_at"	"ZNF785"
"1554806_a_at"	"FBXO8"
"1554807_a_at"	"SPIRE1"
"1554819_a_at"	"ITGA11"
"1554868_s_at"	"PCNP"
"1554878_a_at"	"ABCD3"
"1554890_a_at"	"TIA1"
"1554894_a_at"	"PCBD2"
"1554899_s_at"	"FCER1G"
"1554915_a_at"	"PDE12"
"1554948_at"	NA
"1554966_a_at"	"FILIP1L"
"1555014_x_at"	NA
"1555037_a_at"	"IDH1"
"1555041_a_at"	"NAGA"
"1555088_x_at"	"STAT5B"
"1555097_a_at"	"PTGFR"
"1555154_a_at"	"QKI"
"1555167_s_at"	"NAMPT"
"1555193_a_at"	"ZNF277"
"1555201_a_at"	"RMND1"
"1555226_s_at"	"C1orf43"
"1555229_a_at"	"C1S"
"1555240_s_at"	"GNG12"
"1555241_at"	"RBIS"
"1555243_x_at"	"RBIS"
"1555272_at"	"RSPH10B2"
