"x"
"MEG3"
"HMGA1"
"SLITRK5"
"PRSS22"
"LOC102724760"
"MAT2A"
"CNTFR"
"OCEL1"
"AQP5"
"DCT"
"PRKACB"
"H4C11"
"BMP1"
"ATP10B"
"FANCG"
"GPR171"
"PCBP1"
"ACTN3"
"AGT"
"ARPC5"
"ADAM15"
"ADAM19"
"SKAP2"
"TMED2"
"CAMK2B"
"DEFB4A"
"ILF2"
"ING2"
"CHIT1"
"RPL9"
"CCL16"
"PPT2"
"FDXR"
"G6PD"
"PPP1R16B"
"AIMP1"
"CD72"
"ABHD2"
"CNP"
"DMTN"
"GAB1"
"CTAG1B"
"KIAA0586"
"ZNRD1ASP"
"CADM3"
"VAMP5"
"GNB2"
"BECN1"
"GAGE12J"
"ADSS2"
"ACAA1"
"COL19A1"
"CALCOCO1"
"KCNH2"
"CNTN6"
"CSRP3"
"KIAA0895"
"CBX2"
"ITGA2B"
"CAPN2"
"NFYB"
"CXCL5"
"ARHGAP44"
"CELA2B"
"CDK5R1"
"USP32P2"
"PCDHA9"
"AATF"
"CAPRIN1"
"ROS1"
"HMGA2"
"CD48"
"CLCN5"
"ACACA"
"PPM1D"
"FAM247C"
"ALOX12"
"COL6A3"
"CHAF1A"
"KAT6A"
"H3P6"
"GRB10"
"CDC42EP3"
"AANAT"
"FTO"
"EFNB3"
"ITGB1BP1"
"AKR7A2"
"ATG4B"
"FAM153B"
"DNM1L"
"C10orf95"
"ATP5MJ"
"N4BP1"
"EPHA3"
"TAGLN2"
"GRIK3"
"BCAM"
"ATP1A2"
"EIF2B1"
"PTK2B"
"GRAMD4"
"CYP21A1P"
"AMY1C"
"CDKL5"
"AGAP12P"
"ACIN1"
"AMY2B"
"ABCA2"
"TRA2A"
"CYP1A1"
"POM121L8P"
"HBEGF"
"ANP32E"
"ALDH9A1"
"GFPT2"
"ITFG2"
"ATAD2B"
"NRGN"
"KRT13"
"ACKR2"
"ADCY3"
"TTR"
"GRIN2B"
"INPP5D"
"COX5A"
"ATP5MC3"
"LAMP2"
"MMP25"
"EXPH5"
"CEP135"
"ACSM2A"
"ARFGEF1"
"ATN1"
"ASIC2"
"ARL2"
"ERN1"
"XPC"
"CDC14B"
"IFNGR2"
"KRT37"
"AHCY"
"PNRC1"
"TET3"
"CHD1"
"HPN"
"ARID4A"
"MAD1L1"
"FOLR1"
"SEPT5"
